NUTS_ID,available_ha,eligible_pixels,pixel_area_ha
RO111,444810.0,444810,1.0
RO112,265596.0,265596,1.0
RO113,385970.0,385970,1.0
RO114,244424.0,244424,1.0
RO115,314145.0,314145,1.0
RO116,216220.0,216220,1.0
RO121,331272.0,331272,1.0
RO122,263171.0,263171,1.0
RO123,162652.0,162652,1.0
RO124,289349.0,289349,1.0
RO125,368097.0,368097,1.0
RO126,269192.0,269192,1.0
RO211,296311.0,296311,1.0
RO212,391425.0,391425,1.0
RO213,365993.0,365993,1.0
RO214,259039.0,259039,1.0
RO215,343626.0,343626,1.0
RO216,388763.0,388763,1.0
RO221,401472.0,401472,1.0
RO222,372514.0,372514,1.0
RO223,556336.0,556336,1.0
RO224,335526.0,335526,1.0
RO225,374446.0,374446,1.0
RO226,215548.0,215548,1.0
RO311,274937.0,274937,1.0
RO312,440232.0,440232,1.0
RO313,220525.0,220525,1.0
RO314,273272.0,273272,1.0
RO315,381849.0,381849,1.0
RO316,240331.0,240331,1.0
RO317,487798.0,487798,1.0
RO321,3322.0,3322,1.0
RO322,97847.0,97847,1.0
RO411,577548.0,577548,1.0
RO412,207684.0,207684,1.0
RO413,276647.0,276647,1.0
RO414,436624.0,436624,1.0
RO415,183537.0,183537,1.0
RO421,465881.0,465881,1.0
RO422,283126.0,283126,1.0
RO423,245013.0,245013,1.0
RO424,672218.0,672218,1.0
